"","storm_id","storm_name","n_obs","basin","basinid","year","num_id","max_wind_mph","max_wind_ms","min_pressure","max_category","aceyear","sum_of_sq_knts","ace","named","hurricane","hurricane_major","hurricane_intense"
"1","AL011851","UNNAMED",14,"Western Atlantic",1,"1851",185101.1,92,41.152,NA,1,1851,49100,4.91,1,1,NA,NA
"2","AL011852","UNNAMED",45,"Western Atlantic",1,"1852",185201.1,115,51.44,961,3,1852,263600,26.36,1,1,1,NA
"3","AL011853","UNNAMED",1,"Western Atlantic",1,"1853",185301.1,58,25.72,NA,NA,1853,2500,0.25,1,NA,NA,NA
"4","AL011854","UNNAMED",11,"Western Atlantic",1,"1854",185401.1,81,36.008,NA,1,1854,39000,3.9,1,1,NA,NA
"5","AL011855","UNNAMED",1,"Western Atlantic",1,"1855",185501.1,104,46.296,NA,2,1855,8100,0.81,1,1,NA,NA
"6","AL011856","UNNAMED",14,"Western Atlantic",1,"1856",185601.1,150,66.872,934,4,1856,117500,11.75,1,1,1,1
"7","AL011857","UNNAMED",8,"Western Atlantic",1,"1857",185701.1,58,25.72,NA,NA,1857,20000,2,1,NA,NA,NA
"8","AL011858","UNNAMED",1,"Western Atlantic",1,"1858",185801.1,81,36.008,NA,1,1858,4900,0.49,1,1,NA,NA
"9","AL011859","UNNAMED",1,"Western Atlantic",1,"1859",185901.1,104,46.296,NA,2,1859,8100,0.81,1,1,NA,NA
"10","AL011860","UNNAMED",35,"Western Atlantic",1,"1860",186001.1,127,56.584,NA,3,1860,155400,15.54,1,1,1,NA
"11","AL011861","UNNAMED",28,"Western Atlantic",1,"1861",186101.1,104,46.296,NA,2,1861,127600,12.76,1,1,NA,NA
"12","AL011862","UNNAMED",12,"Western Atlantic",1,"1862",186201.1,58,25.72,NA,NA,1862,30000,3,1,NA,NA,NA
"13","AL011863","UNNAMED",8,"Western Atlantic",1,"1863",186301.1,104,46.296,NA,2,1863,48600,4.86,1,1,NA,NA
"14","AL011864","UNNAMED",12,"Western Atlantic",1,"1864",186401.1,81,36.008,NA,1,1864,53600,5.36,1,1,NA,NA
"15","AL011865","UNNAMED",1,"Western Atlantic",1,"1865",186501.1,58,25.72,NA,NA,1865,2500,0.25,1,NA,NA,NA
"16","AL011866","UNNAMED",19,"Western Atlantic",1,"1866",186601.1,104,46.296,NA,2,1866,142900,14.29,1,1,NA,NA
"17","AL011867","UNNAMED",11,"Western Atlantic",1,"1867",186701.1,81,36.008,NA,1,1867,30400,3.04,1,1,NA,NA
"18","AL011868","UNNAMED",18,"Western Atlantic",1,"1868",186801.1,104,46.296,NA,2,1868,110000,11,1,1,NA,NA
"19","AL011869","UNNAMED",4,"Western Atlantic",1,"1869",186901.1,104,46.296,NA,2,1869,32400,3.24,1,1,NA,NA
"20","AL011870","UNNAMED",1,"Western Atlantic",1,"1870",187001.1,81,36.008,NA,1,1870,4900,0.49,1,1,NA,NA
"21","AL011871","UNNAMED",21,"Western Atlantic",1,"1871",187101.1,58,25.72,999,NA,1871,37800,3.78,1,NA,NA,NA
"22","AL011872","UNNAMED",22,"Western Atlantic",1,"1872",187201.1,58,25.72,NA,NA,1872,32800,3.28,1,NA,NA,NA
"23","AL011873","UNNAMED",8,"Western Atlantic",1,"1873",187301.1,46,20.576,NA,NA,1873,9600,0.96,1,NA,NA,NA
"24","AL011874","UNNAMED",15,"Western Atlantic",1,"1874",187401.1,58,25.72,NA,NA,1874,28000,2.8,1,NA,NA,NA
"25","AL011875","UNNAMED",16,"Western Atlantic",1,"1875",187501.1,81,36.008,NA,1,1875,78400,7.84,1,1,NA,NA
"26","AL011876","UNNAMED",12,"Western Atlantic",1,"1876",187601.1,92,41.152,970,1,1876,55400,5.54,1,1,NA,NA
"27","AL011877","UNNAMED",18,"Western Atlantic",1,"1877",187701.1,69,30.864,NA,NA,1877,51100,5.11,1,NA,NA,NA
"28","AL011878","UNNAMED",13,"Western Atlantic",1,"1878",187801.1,46,20.576,NA,NA,1878,17600,1.76,1,NA,NA,NA
"29","AL011879","UNNAMED",16,"Western Atlantic",1,"1879",187901.1,81,36.008,NA,1,1879,55200,5.52,1,1,NA,NA
"30","AL011880","UNNAMED",19,"Western Atlantic",1,"1880",188001.1,46,20.576,NA,NA,1880,25600,2.56,1,NA,NA,NA
"31","AL011881","UNNAMED",15,"Western Atlantic",1,"1881",188101.1,58,25.72,NA,NA,1881,21900,2.19,1,NA,NA,NA
"32","AL011882","UNNAMED",5,"Western Atlantic",1,"1882",188201.1,81,36.008,NA,1,1882,24500,2.45,1,1,NA,NA
"33","AL011883","UNNAMED",44,"Western Atlantic",1,"1883",188301.1,92,41.152,NA,1,1883,158800,15.88,1,1,NA,NA
"34","AL011884","UNNAMED",24,"Western Atlantic",1,"1884",188401.1,81,36.008,NA,1,1884,34000,3.4,1,1,NA,NA
"35","AL011885","UNNAMED",36,"Western Atlantic",1,"1885",188501.1,92,41.152,981,1,1885,125800,12.58,1,1,NA,NA
"36","AL011886","UNNAMED",12,"Western Atlantic",1,"1886",188601.1,98,43.724,NA,2,1886,31800,3.18,1,1,NA,NA
"37","AL011887","UNNAMED",22,"Western Atlantic",1,"1887",188701.1,69,30.864,NA,NA,1887,35150,3.515,1,NA,NA,NA
"38","AL011888","UNNAMED",12,"Western Atlantic",1,"1888",188801.1,81,36.008,NA,1,1888,25625,2.5625,1,1,NA,NA
"39","AL011889","UNNAMED",24,"Western Atlantic",1,"1889",188901.1,81,36.008,NA,1,1889,59250,5.925,1,1,NA,NA
"40","AL011890","UNNAMED",10,"Western Atlantic",1,"1890",189001.1,58,25.72,NA,NA,1890,12350,1.235,1,NA,NA,NA
"41","AL011891","UNNAMED",22,"Western Atlantic",1,"1891",189101.1,92,41.152,NA,1,1891,73400,7.34,1,1,NA,NA
"42","AL011892","UNNAMED",33,"Western Atlantic",1,"1892",189201.1,52,23.148,NA,NA,1892,53875,5.3875,1,NA,NA,NA
"43","AL011893","UNNAMED",36,"Western Atlantic",1,"1893",189301.1,75,33.436,NA,1,1893,103050,10.305,1,1,NA,NA
"44","AL011894","UNNAMED",16,"Western Atlantic",1,"1894",189401.1,40,18.004,NA,NA,1894,19600,1.96,1,NA,NA,NA
"45","AL011895","UNNAMED",17,"Western Atlantic",1,"1895",189501.1,58,25.72,NA,NA,1895,23750,2.375,1,NA,NA,NA
"46","AL011896","UNNAMED",34,"Western Atlantic",1,"1896",189601.1,98,43.724,NA,2,1896,77175,7.7175,1,1,NA,NA
"47","AL011897","UNNAMED",43,"Western Atlantic",1,"1897",189701.1,98,43.724,NA,2,1897,234525,23.4525,1,1,NA,NA
"48","AL011898","UNNAMED",10,"Western Atlantic",1,"1898",189801.1,81,36.008,NA,1,1898,14100,1.41,1,1,NA,NA
"49","AL011899","UNNAMED",7,"Western Atlantic",1,"1899",189901.1,40,18.004,NA,NA,1899,4900,0.49,1,NA,NA,NA
"50","AL011900","UNNAMED",81,"Western Atlantic",1,"1900",190001.1,144,64.3,936,4,1900,224750,22.475,1,1,1,1
"51","AL011901","UNNAMED",21,"Western Atlantic",1,"1901",190101.1,40,18.004,NA,NA,1901,9800,0.98,1,NA,NA,NA
"52","AL011902","UNNAMED",23,"Western Atlantic",1,"1902",190201.1,58,25.72,NA,NA,1902,25875,2.5875,1,NA,NA,NA
"53","AL011903","UNNAMED",24,"Western Atlantic",1,"1903",190301.1,81,36.008,NA,1,1903,58875,5.8875,1,1,NA,NA
"54","AL011904","UNNAMED",18,"Western Atlantic",1,"1904",190401.1,81,36.008,NA,1,1904,28950,2.895,1,1,NA,NA
"55","AL011905","UNNAMED",10,"Western Atlantic",1,"1905",190501.1,58,25.72,NA,NA,1905,12825,1.2825,1,NA,NA,NA
"56","AL011906","UNNAMED",27,"Western Atlantic",1,"1906",190601.1,52,23.148,NA,NA,1906,36875,3.6875,1,NA,NA,NA
"57","AL011907","UNNAMED",27,"Western Atlantic",1,"1907",190701.1,63,28.292,NA,NA,1907,37700,3.77,1,NA,NA,NA
"58","AL011908","UNNAMED",14,"Western Atlantic",1,"1908",190801.1,98,43.724,NA,2,1908,58400,5.84,1,1,NA,NA
"59","AL011909","UNNAMED",20,"Western Atlantic",1,"1909",190901.1,46,20.576,NA,NA,1909,24475,2.4475,1,NA,NA,NA
"60","AL011910","UNNAMED",27,"Western Atlantic",1,"1910",191001.1,46,20.576,NA,NA,1910,7350,0.735,1,NA,NA,NA
"61","AL011911","UNNAMED",31,"Western Atlantic",1,"1911",191101.1,58,25.72,NA,NA,1911,20875,2.0875,1,NA,NA,NA
"62","AL011912","UNNAMED",42,"Western Atlantic",1,"1912",191201.1,69,30.864,NA,NA,1912,82200,8.22,1,NA,NA,NA
"63","AL011913","UNNAMED",33,"Western Atlantic",1,"1913",191301.1,75,33.436,NA,1,1913,59375,5.9375,1,1,NA,NA
"64","AL011914","UNNAMED",19,"Western Atlantic",1,"1914",191401.1,69,30.864,NA,NA,1914,25300,2.53,1,NA,NA,NA
"65","AL011915","UNNAMED",22,"Western Atlantic",1,"1915",191501.1,75,33.436,990,1,1915,39000,3.9,1,1,NA,NA
"66","AL011916","UNNAMED",19,"Western Atlantic",1,"1916",191601.1,58,25.72,990,NA,1916,14600,1.46,1,NA,NA,NA
"67","AL011917","UNNAMED",33,"Western Atlantic",1,"1917",191701.1,52,23.148,NA,NA,1917,15350,1.535,1,NA,NA,NA
"68","AL011918","UNNAMED",28,"Western Atlantic",1,"1918",191801.1,121,54.012,955,3,1918,95475,9.5475,1,1,1,NA
"69","AL011919","UNNAMED",16,"Western Atlantic",1,"1919",191901.1,63,28.292,995,NA,1919,19675,1.9675,1,NA,NA,NA
"70","AL011920","UNNAMED",38,"Western Atlantic",1,"1920",192001.1,109,48.868,NA,2,1920,164475,16.4475,1,1,NA,NA
"71","AL011921","UNNAMED",43,"Western Atlantic",1,"1921",192101.1,92,41.152,980,1,1921,87100,8.71,1,1,NA,NA
"72","AL011922","UNNAMED",18,"Western Atlantic",1,"1922",192201.1,52,23.148,1006,NA,1922,8100,0.81,1,NA,NA,NA
"73","AL011923","UNNAMED",28,"Western Atlantic",1,"1923",192301.1,58,25.72,1006,NA,1923,17900,1.79,1,NA,NA,NA
"74","AL011924","UNNAMED",14,"Western Atlantic",1,"1924",192401.1,46,20.576,NA,NA,1924,16100,1.61,1,NA,NA,NA
"75","AL011925","UNNAMED",14,"Western Atlantic",1,"1925",192501.1,81,36.008,NA,1,1925,32900,3.29,1,1,NA,NA
"76","AL011926","UNNAMED",47,"Western Atlantic",1,"1926",192601.1,138,61.728,967,4,1926,218575,21.8575,1,1,1,1
"77","AL011927","UNNAMED",45,"Western Atlantic",1,"1927",192701.1,127,56.584,950,3,1927,215500,21.55,1,1,1,NA
"78","AL011928","UNNAMED",46,"Western Atlantic",1,"1928",192801.1,104,46.296,971,2,1928,94675,9.4675,1,1,NA,NA
"79","AL011929","UNNAMED",15,"Western Atlantic",1,"1929",192901.1,92,41.152,982,1,1929,42025,4.2025,1,1,NA,NA
"80","AL011930","UNNAMED",50,"Western Atlantic",1,"1930",193001.1,127,56.584,NA,3,1930,174950,17.495,1,1,1,NA
"81","AL011931","UNNAMED",19,"Western Atlantic",1,"1931",193101.1,52,23.148,NA,NA,1931,22500,2.25,1,NA,NA,NA
"82","AL011932","UNNAMED",23,"Western Atlantic",1,"1932",193201.1,63,28.292,NA,NA,1932,43400,4.34,1,NA,NA,NA
"83","AL011933","UNNAMED",22,"Western Atlantic",1,"1933",193301.1,52,23.148,1001,NA,1933,30800,3.08,1,NA,NA,NA
"84","AL011934","UNNAMED",71,"Western Atlantic",1,"1934",193401.1,98,43.724,966,2,1934,195450,19.545,1,1,NA,NA
"85","AL011935","UNNAMED",17,"Western Atlantic",1,"1935",193501.1,58,25.72,1006,NA,1935,17525,1.7525,1,NA,NA,NA
"86","AL011936","UNNAMED",23,"Western Atlantic",1,"1936",193601.1,46,20.576,996,NA,1936,33225,3.3225,1,NA,NA,NA
"87","AL011937","UNNAMED",21,"Western Atlantic",1,"1937",193701.1,69,30.864,996,NA,1937,21425,2.1425,1,NA,NA,NA
"88","AL011938","UNNAMED",22,"Western Atlantic",1,"1938",193801.1,81,36.008,NA,1,1938,41875,4.1875,1,1,NA,NA
"89","AL011939","UNNAMED",28,"Western Atlantic",1,"1939",193901.1,63,28.292,NA,NA,1939,43175,4.3175,1,NA,NA,NA
"90","AL011940","UNNAMED",32,"Western Atlantic",1,"1940",194001.1,63,28.292,NA,NA,1940,46875,4.6875,1,NA,NA,NA
"91","AL011941","UNNAMED",22,"Western Atlantic",1,"1941",194101.1,58,25.72,1001,NA,1941,22750,2.275,1,NA,NA,NA
"92","AL011942","UNNAMED",12,"Western Atlantic",1,"1942",194201.1,58,25.72,NA,NA,1942,9800,0.98,1,NA,NA,NA
"93","AL011943","UNNAMED",18,"Western Atlantic",1,"1943",194301.1,104,46.296,967,2,1943,57500,5.75,1,1,NA,NA
"94","AL011944","UNNAMED",28,"Western Atlantic",1,"1944",194401.1,81,36.008,NA,1,1944,68000,6.8,1,1,NA,NA
"95","AL011945","UNNAMED",59,"Western Atlantic",1,"1945",194501.1,98,43.724,NA,2,1945,90450,9.045,1,1,NA,NA
"96","AL011946","UNNAMED",14,"Western Atlantic",1,"1946",194601.1,40,18.004,NA,NA,1946,8575,0.8575,1,NA,NA,NA
"97","AL011947","UNNAMED",10,"Western Atlantic",1,"1947",194701.1,52,23.148,NA,NA,1947,11350,1.135,1,NA,NA,NA
"98","AL011948","UNNAMED",28,"Western Atlantic",1,"1948",194801.1,52,23.148,NA,NA,1948,25000,2.5,1,NA,NA,NA
"99","AL011949","UNNAMED",37,"Western Atlantic",1,"1949",194901.1,109,48.868,963,2,1949,119975,11.9975,1,1,NA,NA
"100","AL011950","ABLE",51,"Western Atlantic",1,"1950",195001.1,127,56.584,953,3,1950,260925,26.0925,1,1,1,NA
"101","AL011951","UNNAMED",41,"Western Atlantic",1,"1951",195101.1,63,28.292,NA,NA,1951,54325,5.4325,1,NA,NA,NA
"102","AL011952","UNNAMED",13,"Western Atlantic",1,"1952",195201.1,69,30.864,NA,NA,1952,13250,1.325,1,NA,NA,NA
"103","AL011953","ALICE",53,"Western Atlantic",1,"1953",195301.1,69,30.864,994,NA,1953,73325,7.3325,1,NA,NA,NA
"104","AL011954","UNNAMED",14,"Western Atlantic",1,"1954",195401.1,52,23.148,1005,NA,1954,11675,1.1675,1,NA,NA,NA
"105","AL011955","BRENDA",14,"Western Atlantic",1,"1955",195501.1,69,30.864,NA,NA,1955,19525,1.9525,1,NA,NA,NA
"106","AL011956","UNNAMED",15,"Western Atlantic",1,"1956",195601.1,58,25.72,1001,NA,1956,11075,1.1075,1,NA,NA,NA
"107","AL011957","UNNAMED",32,"Western Atlantic",1,"1957",195701.1,75,33.436,996,1,1957,14375,1.4375,1,1,NA,NA
"108","AL011958","ALMA",10,"Western Atlantic",1,"1958",195801.1,63,28.292,NA,NA,1958,12175,1.2175,1,NA,NA,NA
"109","AL011959","ARLENE",24,"Western Atlantic",1,"1959",195901.1,63,28.292,993,NA,1959,21075,2.1075,1,NA,NA,NA
"110","AL011960","UNNAMED",27,"Western Atlantic",1,"1960",196001.1,58,25.72,1000,NA,1960,10600,1.06,1,NA,NA,NA
"111","AL011961","ANNA",20,"Western Atlantic",1,"1961",196101.1,115,51.44,976,3,1961,142625,14.2625,1,1,1,NA
"112","AL011962","ALMA",30,"Western Atlantic",1,"1962",196201.1,98,43.724,986,2,1962,52300,5.23,1,1,NA,NA
"113","AL011963","ARLENE",43,"Western Atlantic",1,"1963",196301.1,104,46.296,969,2,1963,108450,10.845,1,1,NA,NA
"114","AL011964","UNNAMED",38,"Western Atlantic",1,"1964",196401.1,58,25.72,NA,NA,1964,30725,3.0725,1,NA,NA,NA
"115","AL011965","UNNAMED",29,"Western Atlantic",1,"1965",196501.1,52,23.148,NA,NA,1965,12950,1.295,1,NA,NA,NA
"116","AL011966","ALMA",42,"Western Atlantic",1,"1966",196601.1,127,56.584,970,3,1966,143950,14.395,1,1,1,NA
"117","AL011967","UNNAMED",9,"Western Atlantic",1,"1967",196701.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","AL011968","ABBY",51,"Western Atlantic",1,"1968",196801.1,75,33.436,965,1,1968,56575,5.6575,1,1,NA,NA
"119","AL011969","UNNAMED",17,"Western Atlantic",1,"1969",196901.1,29,12.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","AL011970","ALMA",39,"Western Atlantic",1,"1970",197001.1,81,36.008,993,1,1970,21950,2.195,1,1,NA,NA
"121","AL011971","ARLENE",15,"Western Atlantic",1,"1971",197101.1,63,28.292,1000,NA,1971,18150,1.815,1,NA,NA,NA
"122","AL011972","ALPHA",24,"Western Atlantic",1,"1972",197201.1,69,30.864,991,NA,1972,21200,2.12,1,NA,NA,NA
"123","AL011973","UNNAMED",13,"Western Atlantic",1,"1973",197301.1,29,12.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","AL011974","UNNAMED",17,"Western Atlantic",1,"1974",197401.1,29,12.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","AL011975","UNNAMED",21,"Western Atlantic",1,"1975",197501.1,35,15.432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","AL011976","UNNAMED",18,"Western Atlantic",1,"1976",197601.1,52,23.148,994,NA,1976,20150,2.015,1,NA,NA,NA
"127","AL011977","UNNAMED",6,"Western Atlantic",1,"1977",197701.1,29,12.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","AL011978","UNNAMED",19,"Western Atlantic",1,"1978",197801.1,46,20.576,1002,NA,1978,16950,1.695,1,NA,NA,NA
"129","AL011979","UNNAMED",22,"Western Atlantic",1,"1979",197901.1,35,15.432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","AL011980","UNNAMED",17,"Western Atlantic",1,"1980",198001.1,29,12.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","AL011981","UNNAMED",5,"Western Atlantic",1,"1981",198101.1,35,15.432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","AL011982","ALBERTO",17,"Western Atlantic",1,"1982",198201.1,86,38.58,985,1,1982,20600,2.06,1,1,NA,NA
"133","AL011983","UNNAMED",22,"Western Atlantic",1,"1983",198301.1,35,15.432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","AL011984","UNNAMED",11,"Western Atlantic",1,"1984",198401.1,35,15.432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","AL011985","ANA",16,"Western Atlantic",1,"1985",198501.1,69,30.864,996,NA,1985,20850,2.085,1,NA,NA,NA
"136","AL011986","ANDREW",16,"Western Atlantic",1,"1986",198601.1,52,23.148,999,NA,1986,21850,2.185,1,NA,NA,NA
"137","AL011987","UNNAMED",31,"Western Atlantic",1,"1987",198701.1,35,15.432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","AL011988","ALBERTO",13,"Western Atlantic",1,"1988",198801.1,40,18.004,1002,NA,1988,4900,0.49,1,NA,NA,NA
"139","AL011989","UNNAMED",7,"Western Atlantic",1,"1989",198901.1,29,12.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","AL011990","UNNAMED",7,"Western Atlantic",1,"1990",199001.1,29,12.86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","AL011991","ANA",25,"Western Atlantic",1,"1991",199101.1,52,23.148,1000,NA,1991,12525,1.2525,1,NA,NA,NA
"142","AL011992","UNNAMED",14,"Western Atlantic",1,"1992",199201.1,52,23.148,1002,NA,1992,10925,1.0925,1,NA,NA,NA
"143","AL011993","UNNAMED",11,"Western Atlantic",1,"1993",199301.1,40,18.004,999,NA,NA,NA,NA,NA,NA,NA,NA
"144","AL011994","ALBERTO",32,"Western Atlantic",1,"1994",199401.1,63,28.292,993,NA,1994,15650,1.565,1,NA,NA,NA
"145","AL011995","ALLISON",35,"Western Atlantic",1,"1995",199501.1,75,33.436,982,1,1995,30825,3.0825,1,1,NA,NA
"146","AL011996","ARTHUR",22,"Western Atlantic",1,"1996",199601.1,52,23.148,992,NA,1996,8100,0.81,1,NA,NA,NA
"147","AL011997","UNNAMED",9,"Western Atlantic",1,"1997",199701.1,52,23.148,1003,NA,1997,8100,0.81,1,NA,NA,NA
"148","AL011998","ALEX",26,"Western Atlantic",1,"1998",199801.1,52,23.148,1002,NA,1998,28350,2.835,1,NA,NA,NA
"149","AL011999","ARLENE",26,"Western Atlantic",1,"1999",199901.1,58,25.72,1006,NA,1999,34200,3.42,1,NA,NA,NA
"150","AL012000","UNNAMED",4,"Western Atlantic",1,"2000",200001.1,29,12.86,1008,NA,NA,NA,NA,NA,NA,NA,NA
"151","AL012001","ALLISON",57,"Western Atlantic",1,"2001",200101.1,58,25.72,1000,NA,2001,13000,1.3,1,NA,NA,NA
"152","AL012002","ARTHUR",20,"Western Atlantic",1,"2002",200201.1,58,25.72,992,NA,2002,15275,1.5275,1,NA,NA,NA
"153","AL012003","ANA",39,"Western Atlantic",1,"2003",200301.1,58,25.72,994,NA,2003,31950,3.195,1,NA,NA,NA
"154","AL012004","ALEX",25,"Western Atlantic",1,"2004",200401.1,121,54.012,957,3,2004,113550,11.355,1,1,1,NA
"155","AL012005","ARLENE",26,"Western Atlantic",1,"2005",200501.1,69,30.864,989,NA,2005,25550,2.555,1,NA,NA,NA
"156","AL012006","ALBERTO",38,"Western Atlantic",1,"2006",200601.1,69,30.864,969,NA,2006,27575,2.7575,1,NA,NA,NA
"157","AL012007","ANDREA",31,"Western Atlantic",1,"2007",200701.1,75,33.436,998,1,2007,8950,0.895,1,1,NA,NA
"158","AL012008","ARTHUR",10,"Western Atlantic",1,"2008",200801.1,46,20.576,1004,NA,2008,7725,0.7725,1,NA,NA,NA
"159","AL012009","ONE",15,"Western Atlantic",1,"2009",200901.1,35,15.432,1006,NA,NA,NA,NA,NA,NA,NA,NA
"160","AL012010","ALEX",32,"Western Atlantic",1,"2010",201001.1,109,48.868,946,2,2010,77050,7.705,1,1,NA,NA
"161","AL012011","ARLENE",13,"Western Atlantic",1,"2011",201101.1,63,28.292,993,NA,2011,18775,1.8775,1,NA,NA,NA
"162","AL012012","ALBERTO",20,"Western Atlantic",1,"2012",201201.1,58,25.72,995,NA,2012,18700,1.87,1,NA,NA,NA
"163","AL012013","ANDREA",14,"Western Atlantic",1,"2013",201301.1,63,28.292,992,NA,2013,16175,1.6175,1,NA,NA,NA
"164","AL012014","ARTHUR",47,"Western Atlantic",1,"2014",201401.1,98,43.724,972,2,2014,69475,6.9475,1,1,NA,NA
"165","AL012015","ANA",28,"Western Atlantic",1,"2015",201501.1,58,25.72,998,NA,2015,21200,2.12,1,NA,NA,NA
"166","AL012016","ALEX",42,"Western Atlantic",1,"2016",201601.1,86,38.58,978,1,2016,41725,4.1725,1,1,NA,NA
"167","AL021851","UNNAMED",1,"Western Atlantic",1,"1851",185102.1,92,41.152,NA,1,1851,6400,0.64,1,1,NA,NA
"168","AL021852","UNNAMED",8,"Western Atlantic",1,"1852",185202.1,81,36.008,NA,1,1852,27600,2.76,1,1,NA,NA
"169","AL021853","UNNAMED",1,"Western Atlantic",1,"1853",185302.1,46,20.576,NA,NA,1853,1600,0.16,1,NA,NA,NA
"170","AL021854","UNNAMED",1,"Western Atlantic",1,"1854",185402.1,69,30.864,NA,NA,1854,3600,0.36,1,NA,NA,NA
"171","AL021855","UNNAMED",6,"Western Atlantic",1,"1855",185502.1,104,46.296,NA,2,1855,48600,4.86,1,1,NA,NA
"172","AL021856","UNNAMED",8,"Western Atlantic",1,"1856",185602.1,81,36.008,NA,1,1856,39200,3.92,1,1,NA,NA
"173","AL021857","UNNAMED",47,"Western Atlantic",1,"1857",185702.1,104,46.296,961,2,1857,223600,22.36,1,1,NA,NA
"174","AL021858","UNNAMED",1,"Western Atlantic",1,"1858",185802.1,81,36.008,NA,1,1858,4900,0.49,1,1,NA,NA
"175","AL021859","UNNAMED",12,"Western Atlantic",1,"1859",185902.1,104,46.296,NA,2,1859,97200,9.72,1,1,NA,NA
"176","AL021860","UNNAMED",12,"Western Atlantic",1,"1860",186002.1,104,46.296,NA,2,1860,68600,6.86,1,1,NA,NA
"177","AL021861","UNNAMED",18,"Western Atlantic",1,"1861",186102.1,92,41.152,NA,1,1861,79500,7.95,1,1,NA,NA
"178","AL021862","UNNAMED",13,"Western Atlantic",1,"1862",186202.1,104,46.296,NA,2,1862,100200,10.02,1,1,NA,NA
"179","AL021863","UNNAMED",8,"Western Atlantic",1,"1863",186302.1,104,46.296,NA,2,1863,55000,5.5,1,1,NA,NA
"180","AL021864","UNNAMED",1,"Western Atlantic",1,"1864",186402.1,69,30.864,NA,NA,1864,3600,0.36,1,NA,NA,NA
"181","AL021865","UNNAMED",1,"Western Atlantic",1,"1865",186502.1,58,25.72,NA,NA,1865,2500,0.25,1,NA,NA,NA
"182","AL021866","UNNAMED",22,"Western Atlantic",1,"1866",186602.1,104,46.296,NA,2,1866,139700,13.97,1,1,NA,NA
"183","AL021867","UNNAMED",28,"Western Atlantic",1,"1867",186702.1,104,46.296,969,2,1867,164600,16.46,1,1,NA,NA
"184","AL021868","UNNAMED",29,"Western Atlantic",1,"1868",186802.1,81,36.008,NA,1,1868,61700,6.17,1,1,NA,NA
"185","AL021869","UNNAMED",9,"Western Atlantic",1,"1869",186902.1,104,46.296,NA,2,1869,53800,5.38,1,1,NA,NA
"186","AL021870","UNNAMED",24,"Western Atlantic",1,"1870",187002.1,104,46.296,NA,2,1870,136600,13.66,1,1,NA,NA
"187","AL021871","UNNAMED",13,"Western Atlantic",1,"1871",187102.1,58,25.72,NA,NA,1871,19600,1.96,1,NA,NA,NA
"188","AL021872","UNNAMED",56,"Western Atlantic",1,"1872",187202.1,104,46.296,NA,2,1872,257600,25.76,1,1,NA,NA
"189","AL021873","UNNAMED",64,"Western Atlantic",1,"1873",187302.1,115,51.44,962,3,1873,333600,33.36,1,1,1,NA
"190","AL021874","UNNAMED",20,"Western Atlantic",1,"1874",187402.1,81,36.008,NA,1,1874,80600,8.06,1,1,NA,NA
"191","AL021875","UNNAMED",40,"Western Atlantic",1,"1875",187502.1,81,36.008,982,1,1875,175400,17.54,1,1,NA,NA
"192","AL021876","UNNAMED",33,"Western Atlantic",1,"1876",187602.1,115,51.44,980,3,1876,126900,12.69,1,1,1,NA
"193","AL021877","UNNAMED",34,"Western Atlantic",1,"1877",187702.1,81,36.008,NA,1,1877,105300,10.53,1,1,NA,NA
"194","AL021878","UNNAMED",45,"Western Atlantic",1,"1878",187802.1,81,36.008,NA,1,1878,135100,13.51,1,1,NA,NA
"195","AL021879","UNNAMED",32,"Western Atlantic",1,"1879",187902.1,115,51.44,971,3,1879,135800,13.58,1,1,1,NA
"196","AL021880","UNNAMED",45,"Western Atlantic",1,"1880",188002.1,150,66.872,931,4,1880,246100,24.61,1,1,1,1
"197","AL021881","UNNAMED",15,"Western Atlantic",1,"1881",188102.1,46,20.576,NA,NA,1881,16000,1.6,1,NA,NA,NA
"198","AL021882","UNNAMED",47,"Western Atlantic",1,"1882",188202.1,127,56.584,949,3,1882,234900,23.49,1,1,1,NA
"199","AL021883","UNNAMED",40,"Western Atlantic",1,"1883",188302.1,127,56.584,963,3,1883,202300,20.23,1,1,1,NA
"200","AL021884","UNNAMED",56,"Western Atlantic",1,"1884",188402.1,115,51.44,957,3,1884,336800,33.68,1,1,1,NA
"201","AL021885","UNNAMED",32,"Western Atlantic",1,"1885",188502.1,104,46.296,958,2,1885,137400,13.74,1,1,NA,NA
"202","AL021886","UNNAMED",33,"Western Atlantic",1,"1886",188602.1,98,43.724,NA,2,1886,100800,10.08,1,1,NA,NA
