"","year","basin","ace","hurr_ace","major_ace","intense_ace","named_count","hurricane_count","major_hurricane_count","intense_hurricane_count","named_avg_max_mph","named_avg_max_ms","hurricane_avg_max_mph","hurricane_avg_max_ms","major_avg_max_mph","major_avg_max_ms","intense_avg_max_mph","intense_avg_max_ms","max_wind_mph","max_wind_ms","min_pressure","max_category","max_ace"
"33",1883,"Western Atlantic",66.7,38.39,15.88,NA,4,4,2,NA,106.75,47.582,106.75,47.582,106.75,47.582,106.75,47.582,127,56.584,963,3,28.31
"34",1884,"Western Atlantic",72.06,57.37,3.4,NA,4,4,1,NA,98,43.724,98,43.724,98,43.724,98,43.724,115,51.44,957,3,33.68
"35",1885,"Western Atlantic",58.3,53.25,19.95,7.37,8,6,NA,NA,83.625,37.294,90.3333333333333,40.2946666666667,90.3333333333333,40.2946666666667,90.3333333333333,40.2946666666667,104,46.296,958,2,13.74
"36",1886,"Western Atlantic",166.165,119.615,40.285,37.105,12,10,4,1,100.333333333333,44.7956666666667,108.3,48.3536,108.3,48.3536,108.3,48.3536,150,66.872,925,4,37.105
"37",1887,"Western Atlantic",181.26,138.7625,51.195,37.9675,19,12,2,NA,82,36.5494736842105,95.6666666666667,42.6523333333333,95.6666666666667,42.6523333333333,95.6666666666667,42.6523333333333,127,56.584,963,3,30.2475
"38",1888,"Western Atlantic",84.945,54.955,6.41,3.8475,9,6,2,NA,88.5555555555556,39.4373333333333,103.833333333333,46.296,103.833333333333,46.296,103.833333333333,46.296,127,56.584,970,3,22.22
"39",1889,"Western Atlantic",104.0425,77.32,29.22,23.295,9,6,NA,NA,79.5555555555556,35.4364444444444,88.5,39.4373333333333,88.5,39.4373333333333,88.5,39.4373333333333,109,48.868,NA,2,29.6875
"40",1890,"Western Atlantic",33.345,24.4625,NA,NA,4,2,1,NA,82.25,36.651,106.5,47.582,106.5,47.582,106.5,47.582,121,54.012,NA,3,21.4775
"41",1891,"Western Atlantic",116.105,109.4025,20.6375,13.2975,10,7,1,NA,84.7,37.8084,96.2857142857143,42.9891428571429,96.2857142857143,42.9891428571429,96.2857142857143,42.9891428571429,127,56.584,961,3,21.1475
"42",1892,"Western Atlantic",115.8375,89.47,NA,NA,9,5,NA,NA,75.6666666666667,33.7217777777778,92.2,41.152,92.2,41.152,92.2,41.152,98,43.724,NA,2,29.15
"43",1893,"Western Atlantic",231.1475,199.09,50.13,39.825,12,10,5,1,100.333333333333,44.7956666666667,107.7,48.0964,107.7,48.0964,107.7,48.0964,132,59.156,948,4,63.525
"44",1894,"Western Atlantic",135.42,130.58,30.4825,30.4825,7,5,4,1,99.4285714285714,44.4588571428571,119.6,53.4976,119.6,53.4976,119.6,53.4976,132,59.156,931,4,30.4825
"45",1895,"Western Atlantic",68.765,54.5675,NA,NA,6,2,NA,NA,68.1666666666667,30.4353333333333,106.5,47.582,106.5,47.582,106.5,47.582,109,48.868,NA,2,33.6125
"46",1896,"Western Atlantic",136.0825,102.825,40.7825,33.065,7,6,2,NA,98.8571428571429,44.0914285714286,105.666666666667,47.1533333333333,105.666666666667,47.1533333333333,105.666666666667,47.1533333333333,127,56.584,956,3,36.34
"47",1897,"Western Atlantic",54.54,30.26,23.4525,NA,6,3,NA,NA,73.8333333333333,33.0073333333333,88.3333333333333,39.4373333333333,88.3333333333333,39.4373333333333,88.3333333333333,39.4373333333333,98,43.724,NA,2,23.4525
"48",1898,"Western Atlantic",113.2375,33.66,1.41,NA,11,5,1,1,75.4545454545455,33.6698181818182,97.8,43.724,97.8,43.724,97.8,43.724,132,59.156,938,4,40.1375
"49",1899,"Western Atlantic",151.025,91.2675,NA,NA,10,5,2,1,83.5,37.294,116.4,51.9544,116.4,51.9544,116.4,51.9544,150,66.872,930,4,73.5675
"50",1900,"Western Atlantic",83.345,74.7425,22.475,NA,7,3,2,1,83.1428571428571,37.1102857142857,121,54.012,121,54.012,121,54.012,144,64.3,936,4,27.3
"51",1901,"Western Atlantic",98.975,51.2775,13.3975,13.3975,13,6,NA,NA,70.6153846153846,31.4575384615385,86.6666666666667,38.58,86.6666666666667,38.58,86.6666666666667,38.58,104,46.296,973,2,27.855
"52",1902,"Western Atlantic",32.65,12.9825,NA,NA,5,3,NA,NA,82,36.5224,94.3333333333333,42.0093333333333,94.3333333333333,42.0093333333333,94.3333333333333,42.0093333333333,104,46.296,970,2,12.5225
"53",1903,"Western Atlantic",102.07,71.265,14.3025,8.415,10,7,1,NA,86.5,38.58,97.1428571428571,43.3565714285714,97.1428571428571,43.3565714285714,97.1428571428571,43.3565714285714,121,54.012,958,3,28.95
"54",1904,"Western Atlantic",30.345,18.125,2.895,NA,6,4,NA,NA,72.1666666666667,32.15,82.25,36.651,82.25,36.651,82.25,36.651,86,38.58,NA,1,9.6675
"55",1905,"Western Atlantic",28.3775,NA,NA,NA,5,1,1,NA,68.2,30.3496,121,54.012,121,54.012,121,54.012,121,54.012,945,3,16.145
"56",1906,"Western Atlantic",162.88,35.2425,16.7675,16.7675,11,6,3,1,85.9090909090909,38.3461818181818,108.5,48.4393333333333,108.5,48.4393333333333,108.5,48.4393333333333,132,59.156,950,4,55.97
"57",1907,"Western Atlantic",13.06,NA,NA,NA,5,NA,NA,NA,51.8,23.148,NA,NA,NA,NA,NA,NA,63,28.292,NA,NA,3.9075
"58",1908,"Western Atlantic",95.11,46.4225,33.835,27.995,10,6,1,NA,80.7,36.008,98,43.724,98,43.724,98,43.724,121,54.012,989,3,30.325
"59",1909,"Western Atlantic",93.34,63.33,22.715,22.715,12,6,4,NA,82.1666666666667,36.651,113.333333333333,50.5826666666667,113.333333333333,50.5826666666667,113.333333333333,50.5826666666667,121,54.012,952,3,22.715
"60",1910,"Western Atlantic",63.9,NA,NA,NA,5,3,1,1,89.8,40.1232,119,53.1546666666667,119,53.1546666666667,119,53.1546666666667,150,66.872,924,4,29.05
"61",1911,"Western Atlantic",34.655,4.255,NA,NA,6,3,NA,NA,75,33.436,92.3333333333333,41.152,92.3333333333333,41.152,92.3333333333333,41.152,98,43.724,972,2,11.3725
"62",1912,"Western Atlantic",57.2625,30.3575,9.745,9.745,7,4,1,NA,81.4285714285714,36.3754285714286,99.25,44.367,99.25,44.367,99.25,44.367,115,51.44,965,3,20.6125
"63",1913,"Western Atlantic",35.595,8.155,2.2175,2.2175,6,4,NA,NA,71,31.7213333333333,77.75,34.722,77.75,34.722,77.75,34.722,86,38.58,976,1,15.6325
"64",1914,"Western Atlantic",2.53,NA,NA,NA,1,NA,NA,NA,69,30.864,NA,NA,NA,NA,NA,NA,69,30.864,NA,NA,2.53
"65",1915,"Western Atlantic",130.095,78.5425,37.7025,37.7025,6,5,3,2,106.666666666667,47.582,116.4,51.9544,116.4,51.9544,116.4,51.9544,144,64.3,931,4,41.335
"66",1916,"Western Atlantic",144.0125,81.8225,51.5425,36.3275,15,10,5,1,92.9333333333333,41.4949333333333,109.9,49.1252,109.9,49.1252,109.9,49.1252,132,59.156,932,4,19.83
"67",1917,"Western Atlantic",60.6675,NA,NA,NA,4,2,2,1,98,43.724,135.5,60.442,135.5,60.442,135.5,60.442,150,66.872,928,4,34.9925
"68",1918,"Western Atlantic",39.8725,17.4075,NA,NA,6,4,1,NA,87.3333333333333,39.0086666666667,102.25,45.653,102.25,45.653,102.25,45.653,121,54.012,955,3,11.32
"69",1919,"Western Atlantic",55.04,44.2525,NA,NA,5,2,1,1,85.2,38.0656,124,55.298,124,55.298,124,55.298,150,66.872,927,4,44.2525
"70",1920,"Western Atlantic",29.81,20.72,NA,NA,5,4,NA,NA,85,38.0656,94.75,42.438,94.75,42.438,94.75,42.438,109,48.868,975,2,16.4475
"71",1921,"Western Atlantic",86.53,47.1225,27.4,27.4,7,6,2,1,95.5714285714286,42.6217142857143,101.833333333333,45.4386666666667,101.833333333333,45.4386666666667,101.833333333333,45.4386666666667,138,61.728,941,4,35.2125
"72",1922,"Western Atlantic",54.515,43.55,NA,NA,5,3,1,NA,83,37.0368,103.666666666667,46.296,103.666666666667,46.296,103.666666666667,46.296,121,54.012,939,3,31.5675
"73",1923,"Western Atlantic",49.31,20.3425,4.4625,4.4625,9,4,1,NA,73.7777777777778,32.8644444444444,96.75,43.081,96.75,43.081,96.75,43.081,121,54.012,983,3,17.685
"74",1924,"Western Atlantic",100.1875,59.475,25.035,25.035,11,6,2,1,82.7272727272727,36.9432727272727,106.5,47.582,106.5,47.582,106.5,47.582,167,74.588,910,5,25.035
"75",1925,"Western Atlantic",7.2525,5.425,3.29,3.29,4,2,NA,NA,66.25,29.578,86.5,38.58,86.5,38.58,86.5,38.58,92,41.152,980,1,3.29
"76",1926,"Western Atlantic",229.5575,107.9925,21.8575,21.8575,11,8,6,4,103.090909090909,46.0621818181818,126.75,56.584,126.75,56.584,126.75,56.584,150,66.872,930,4,60.935
"77",1927,"Western Atlantic",56.4775,44.5525,21.55,21.55,8,4,1,NA,77.125,34.4005,102.25,45.653,102.25,45.653,102.25,45.653,127,56.584,950,3,21.55
"78",1928,"Western Atlantic",83.475,75.9025,65.88,65.88,6,4,1,1,96,42.8666666666667,112.25,50.154,112.25,50.154,112.25,50.154,161,72.016,929,5,47.7475
"79",1929,"Western Atlantic",48.0675,37.11,4.2025,4.2025,5,3,1,1,91,40.6376,109.333333333333,48.868,109.333333333333,48.868,109.333333333333,48.868,155,69.444,924,4,32.9075
"80",1930,"Western Atlantic",49.7725,47.33,17.495,17.495,3,2,2,1,117,52.2973333333333,141,63.014,141,63.014,141,63.014,155,69.444,933,4,29.835
"81",1931,"Western Atlantic",47.835,10.4225,10.4225,10.4225,13,3,1,1,65.5384615384615,29.2812307692308,101.666666666667,45.4386666666667,101.666666666667,45.4386666666667,101.666666666667,45.4386666666667,132,59.156,987,4,11.2925
"82",1932,"Western Atlantic",169.6625,128.3775,102.6075,102.6075,15,7,4,4,92.4666666666667,41.3234666666667,126.714285714286,56.584,126.714285714286,56.584,126.714285714286,56.584,173,77.16,918,5,59.8075
"83",1933,"Western Atlantic",258.57,163.9375,124.3775,106.4625,20,12,6,5,91.8,41.0234,118.416666666667,52.9403333333333,118.416666666667,52.9403333333333,118.416666666667,52.9403333333333,161,72.016,929,5,40.23
"84",1934,"Western Atlantic",79.0675,42.4175,34.7525,34.7525,13,7,1,NA,75.3846153846154,33.6338461538462,96.2857142857143,42.9891428571429,96.2857142857143,42.9891428571429,96.2857142857143,42.9891428571429,115,51.44,966,3,19.545
"85",1935,"Western Atlantic",106.2125,57.685,31.6725,31.6725,8,5,3,3,100.75,45.01,128.8,57.6128,128.8,57.6128,128.8,57.6128,184,82.304,892,5,26.0125
"86",1936,"Western Atlantic",99.775,48.2175,25.4375,25.4375,17,7,1,NA,68.4705882352941,30.5614117647059,96.4285714285714,42.9891428571429,96.4285714285714,42.9891428571429,96.4285714285714,42.9891428571429,121,54.012,962,3,27.185
"87",1937,"Western Atlantic",65.85,34.3675,20.3025,20.3025,11,5,1,NA,77.5454545454545,34.6050909090909,95.8,42.6952,95.8,42.6952,95.8,42.6952,127,56.584,951,3,20.3025
"88",1938,"Western Atlantic",77.575,53.3875,41.0375,41.0375,9,4,2,1,81.8888888888889,36.5795555555556,115.25,51.44,115.25,51.44,115.25,51.44,161,72.016,940,5,41.0375
"89",1939,"Western Atlantic",43.6825,27.7575,9.3675,9.3675,6,3,1,1,80.5,36.008,101.666666666667,45.4386666666667,101.666666666667,45.4386666666667,101.666666666667,45.4386666666667,138,61.728,985,4,18.39
