"","year","basin","ace","hurr_ace","major_ace","intense_ace","named_count","hurricane_count","major_hurricane_count","intense_hurricane_count","named_avg_max_mph","named_avg_max_ms","hurricane_avg_max_mph","hurricane_avg_max_ms","major_avg_max_mph","major_avg_max_ms","intense_avg_max_mph","intense_avg_max_ms","max_wind_mph","max_wind_ms","min_pressure","max_category","max_ace"
"138",1968,"Western Atlantic",45.0725,31.8375,15.9325,NA,8,5,NA,NA,73.5,32.793,79.6,35.4936,79.6,35.4936,79.6,35.4936,86,38.58,965,1,10.275
"139",1969,"Eastern Pacific",32.7025,12.1175,7.09,7.09,10,4,NA,NA,67.3,30.0924,80.5,36.008,80.5,36.008,80.5,36.008,86,38.58,993,1,7.09
"140",1969,"Western Atlantic",165.7375,86.02,44.2,33.3825,18,12,5,1,91.2222222222222,40.7233333333333,106.083333333333,47.3676666666667,106.083333333333,47.3676666666667,106.083333333333,47.3676666666667,173,77.16,900,5,31.64
"141",1970,"Eastern Pacific",79.28,11.01,7.87,NA,19,5,NA,NA,66.2105263157895,29.5103157894737,94.4,42.1808,94.4,42.1808,94.4,42.1808,109,48.868,963,2,15.29
"142",1970,"Western Atlantic",40.18,10.4,2.195,NA,10,5,2,NA,83.6,37.294,102.8,45.7816,102.8,45.7816,102.8,45.7816,127,56.584,945,3,8.32
"143",1971,"Eastern Pacific",139.3425,63.325,40.7875,15.115,18,12,6,1,90.8333333333333,40.5804444444444,107.416666666667,48.0106666666667,107.416666666667,48.0106666666667,107.416666666667,48.0106666666667,138,61.728,948,4,22.5375
"144",1971,"Western Atlantic",96.7725,70.03,60.59,16.3975,13,6,1,1,80.8461538461538,36.2058461538462,102.5,45.8673333333333,102.5,45.8673333333333,102.5,45.8673333333333,161,72.016,943,5,44.1925
"145",1972,"Eastern Pacific",150.5375,73.3925,41.935,NA,14,9,5,1,90.1428571428571,40.2334285714286,111.333333333333,49.7253333333333,111.333333333333,49.7253333333333,111.333333333333,49.7253333333333,132,59.156,940,4,36.3325
"146",1972,"Western Atlantic",35.605,20.455,20.455,6.6025,7,3,NA,NA,74.8571428571429,33.436,90.3333333333333,40.2946666666667,90.3333333333333,40.2946666666667,90.3333333333333,40.2946666666667,104,46.296,944,2,13.8525
"147",1973,"Eastern Pacific",114.6725,88.5175,54.1725,36.49,12,7,3,3,92,41.152,117.428571428571,52.5422857142857,117.428571428571,52.5422857142857,117.428571428571,52.5422857142857,161,72.016,915,5,34.345
"148",1973,"Western Atlantic",47.85,12.7425,6.005,NA,8,4,1,NA,79.125,35.365,95,42.438,95,42.438,95,42.438,115,51.44,962,3,12.7725
"149",1974,"Eastern Pacific",90.755,20.5675,17.2275,12.295,18,11,3,1,80,35.7222222222222,97.9090909090909,43.724,97.9090909090909,43.724,97.9090909090909,43.724,138,61.728,934,4,17.09
"150",1974,"Western Atlantic",68.37,54.0575,39.68,NA,11,4,2,1,78,34.8389090909091,112.25,50.154,112.25,50.154,112.25,50.154,150,66.872,928,4,25.6
"151",1975,"Eastern Pacific",112.6025,39.5775,16.7125,16.7125,17,9,4,2,79.9411764705882,35.7054117647059,103.666666666667,46.296,103.666666666667,46.296,103.666666666667,46.296,138,61.728,990,4,20.125
"152",1975,"Western Atlantic",76.0625,47.14,22.3725,10.59,9,6,3,1,96.5555555555556,43.1524444444444,113.166666666667,50.5826666666667,113.166666666667,50.5826666666667,113.166666666667,50.5826666666667,138,61.728,939,4,21.385
"153",1976,"Eastern Pacific",121.4925,54.725,32.95,18.8675,15,9,5,4,87.4666666666667,39.0944,112.555555555556,50.2968888888889,112.555555555556,50.2968888888889,112.555555555556,50.2968888888889,144,64.3,925,4,23.4975
"154",1976,"Western Atlantic",84.1725,69.62,41.5725,NA,10,6,2,NA,81.3,36.2652,101.833333333333,45.4386666666667,101.833333333333,45.4386666666667,101.833333333333,45.4386666666667,121,54.012,957,3,30.045
"155",1977,"Eastern Pacific",22.2825,13.065,8.855,NA,8,4,NA,NA,67.5,30.221,89.25,39.866,89.25,39.866,89.25,39.866,104,46.296,979,2,4.9775
"156",1977,"Western Atlantic",25.3175,15.195,15.195,15.195,6,5,1,1,91.3333333333333,40.7233333333333,98,43.724,98,43.724,98,43.724,173,77.16,926,5,12.77
"157",1978,"Eastern Pacific",207.1175,109.125,85.165,5.805,19,14,7,5,93.5789473684211,41.8288421052632,108.5,48.5005714285714,108.5,48.5005714285714,108.5,48.5005714285714,138,61.728,NA,4,62.76
"158",1978,"Western Atlantic",63.2175,27.15,23.335,11.74,12,5,2,2,76.3333333333333,34.079,108.2,48.3536,108.2,48.3536,108.2,48.3536,138,61.728,947,4,19.24
"159",1979,"Eastern Pacific",57.425,48.9175,38.1925,16.7075,10,6,4,2,91,40.6376,116.166666666667,51.8686666666667,116.166666666667,51.8686666666667,116.166666666667,51.8686666666667,144,64.3,938,4,14.1575
"160",1979,"Western Atlantic",92.9175,87.8575,61.365,43.9925,9,6,2,2,87.6666666666667,39.1515555555556,106.5,47.582,106.5,47.582,106.5,47.582,173,77.16,924,5,43.9925
"161",1980,"Eastern Pacific",77.65,29.5975,29.5975,17.535,14,7,3,1,75.7142857142857,33.8034285714286,102.857142857143,45.9285714285714,102.857142857143,45.9285714285714,102.857142857143,45.9285714285714,138,61.728,NA,4,26.225
"162",1980,"Western Atlantic",148.9375,81.0775,78.27,52.2775,11,9,2,1,95.9090909090909,42.7887272727273,103.111111111111,46.0102222222222,103.111111111111,46.0102222222222,103.111111111111,46.0102222222222,190,84.876,899,5,52.2775
"163",1981,"Eastern Pacific",72.77,30.755,22.4925,7.475,15,8,1,NA,74.0666666666667,33.0930666666667,92.75,41.4735,92.75,41.4735,92.75,41.4735,127,56.584,NA,3,11.01
"164",1981,"Western Atlantic",100.3275,59.7125,45.425,15.2125,12,7,3,1,86.4166666666667,38.58,104.428571428571,46.6634285714286,104.428571428571,46.6634285714286,104.428571428571,46.6634285714286,132,59.156,946,4,22.2425
"165",1982,"Eastern Pacific",161.1925,37.995,17.985,NA,23,12,5,1,80.6086956521739,36.008,105.583333333333,47.1533333333333,105.583333333333,47.1533333333333,105.583333333333,47.1533333333333,144,64.3,NA,4,22.4875
"166",1982,"Western Atlantic",31.5025,2.06,NA,NA,6,2,1,1,81.3333333333333,36.4366666666667,109,48.868,109,48.868,109,48.868,132,59.156,950,4,18.155
"167",1983,"Eastern Pacific",206.1775,77.62,58.03,35.295,21,12,8,5,91.1904761904762,40.7845714285714,118.333333333333,52.9403333333333,118.333333333333,52.9403333333333,118.333333333333,52.9403333333333,144,64.3,NA,4,28.55
"168",1983,"Western Atlantic",17.4025,13.7975,NA,NA,4,3,1,NA,83.5,37.294,90.3333333333333,40.2946666666667,90.3333333333333,40.2946666666667,90.3333333333333,40.2946666666667,115,51.44,962,3,6.385
"169",1984,"Eastern Pacific",193.33,83.4725,52.6475,22.1475,21,13,7,4,91.2380952380952,40.7845714285714,111.923076923077,50.0550769230769,111.923076923077,50.0550769230769,111.923076923077,50.0550769230769,144,64.3,NA,4,39.7375
"170",1984,"Western Atlantic",84.295,43.17,26.935,NA,13,5,1,1,71.3846153846154,31.8532307692308,96.8,43.2096,96.8,43.2096,96.8,43.2096,132,59.156,949,4,19.485
"171",1985,"Eastern Pacific",192.59,100.485,38.8775,38.8775,23,13,8,3,85.2608695652174,38.1326956521739,111.076923076923,49.6593846153846,111.076923076923,49.6593846153846,111.076923076923,49.6593846153846,144,64.3,NA,4,23.6525
"172",1985,"Western Atlantic",87.9825,66.7425,19.07,19.07,11,7,3,1,90,40.2167272727273,104.428571428571,46.6634285714286,104.428571428571,46.6634285714286,104.428571428571,46.6634285714286,144,64.3,920,4,21.1525
"173",1986,"Eastern Pacific",107.7525,31.4125,31.4125,3.4875,17,9,3,3,76.4117647058823,34.1924705882353,102.222222222222,45.7244444444444,102.222222222222,45.7244444444444,102.222222222222,45.7244444444444,144,64.3,NA,4,25.67
"174",1986,"Western Atlantic",35.7925,25.3125,NA,NA,6,4,NA,NA,77.8333333333333,34.722,89.25,39.866,89.25,39.866,89.25,39.866,104,46.296,979,2,19.68
"175",1987,"Eastern Pacific",132.8125,36.84,31.9225,NA,20,10,4,2,80,35.7508,107.7,48.0964,107.7,48.0964,107.7,48.0964,155,69.444,NA,4,21.3225
"176",1987,"Western Atlantic",34.36,3.3375,3.3375,3.3375,7,3,1,NA,68.4285714285714,30.4965714285714,92.3333333333333,41.152,92.3333333333333,41.152,92.3333333333333,41.152,127,56.584,958,3,11.9125
"177",1988,"Eastern Pacific",127.4236,88.3836,49.0961,9.8311,15,7,3,2,82.5333333333333,36.8653333333333,112,49.9702857142857,112,49.9702857142857,112,49.9702857142857,144,64.3,935,4,39.2875
"178",1988,"Western Atlantic",102.9925,87.9225,32.755,32.755,12,6,3,3,84.5,37.7226666666667,117.166666666667,52.2973333333333,117.166666666667,52.2973333333333,117.166666666667,52.2973333333333,184,82.304,888,5,32.755
"179",1989,"Eastern Pacific",110.765,30.8925,18.7,4.05,17,9,4,2,79.8235294117647,35.7054117647059,104.222222222222,46.5817777777778,104.222222222222,46.5817777777778,104.222222222222,46.5817777777778,144,64.3,935,4,24.72
"180",1989,"Western Atlantic",135.125,62.64,46.7075,42.69,11,7,2,2,90.6363636363636,40.4505454545455,109.428571428571,48.868,109.428571428571,48.868,109.428571428571,48.868,161,72.016,918,5,42.69
"181",1990,"Eastern Pacific",250.4025,77.5875,51.965,51.965,21,16,6,4,95.8571428571429,42.8666666666667,105.75,47.2605,105.75,47.2605,105.75,47.2605,155,69.444,924,4,45.745
"182",1990,"Western Atlantic",96.8025,35.21,23.0275,6.12,14,8,1,NA,75.6428571428571,33.8034285714286,90.75,40.509,90.75,40.509,90.75,40.509,121,54.012,956,3,22.95
"183",1991,"Eastern Pacific",178.32,15.0025,9.5025,5.9975,14,10,5,2,94.1428571428571,42.0705714285714,106.6,47.582,106.6,47.582,106.6,47.582,144,64.3,935,4,52.1425
"184",1991,"Western Atlantic",35.5375,15.4775,NA,NA,8,4,2,1,79.25,35.365,106.5,47.582,106.5,47.582,106.5,47.582,132,59.156,944,4,14.0125
"185",1992,"Eastern Pacific",294.695,131.02,39.5275,20.83,27,16,10,7,91.8888888888889,41.0567407407407,117.3125,52.4045,117.3125,52.4045,117.3125,52.4045,150,66.872,932,4,47.69
"186",1992,"Western Atlantic",76.2225,51.5625,28.4475,28.4475,7,4,1,1,93.5714285714286,41.8868571428571,119.25,53.369,119.25,53.369,119.25,53.369,173,77.16,922,5,28.4475
"187",1993,"Eastern Pacific",220.265,132.24,80.8875,61.1275,15,11,9,7,109.666666666667,49.0394666666667,128.636363636364,57.5192727272727,128.636363636364,57.5192727272727,128.636363636364,57.5192727272727,150,66.872,930,4,38.135
"188",1993,"Western Atlantic",38.665,22.1025,NA,NA,8,4,1,NA,70.625,31.507,92.25,41.152,92.25,41.152,92.25,41.152,115,51.44,960,3,22.1025
"189",1994,"Eastern Pacific",203.6775,141.0375,134.8275,134.8275,20,10,5,5,86.05,38.4514,123.9,55.298,123.9,55.298,123.9,55.298,173,77.16,920,5,70.6425
"190",1994,"Western Atlantic",32.02,19.2575,NA,NA,7,3,NA,NA,74.8571428571429,33.436,92,41.152,92,41.152,92,41.152,109,48.868,972,2,10.905
"191",1995,"Eastern Pacific",100.2025,22.27,22.27,22.27,10,7,3,3,94.4,42.1808,107.857142857143,48.1331428571429,107.857142857143,48.1331428571429,107.857142857143,48.1331428571429,150,66.872,930,4,29.8325
"192",1995,"Western Atlantic",227.1025,168.35,75.6,53.45,19,11,5,3,88.1052631578947,39.3922105263158,109.818181818182,49.1018181818182,109.818181818182,49.1018181818182,109.818181818182,49.1018181818182,150,66.872,916,4,53.45
"193",1996,"Eastern Pacific",53.465,32.5225,32.5225,12.56,9,5,2,1,85.6666666666667,38.2942222222222,107,47.8392,107,47.8392,107,47.8392,132,59.156,946,4,19.9625
"194",1996,"Western Atlantic",166.1825,82.0025,6.0875,6.0875,13,9,6,2,93,41.5476923076923,110,49.1537777777778,110,49.1537777777778,110,49.1537777777778,144,64.3,933,4,49.3175
"195",1997,"Eastern Pacific",276.545,229.875,215.0675,198.83,19,11,9,8,102.315789473684,45.7545263157895,139,62.1956363636364,139,62.1956363636364,139,62.1956363636364,184,82.304,902,5,70.195
"196",1997,"Western Atlantic",40.9275,34.965,NA,NA,8,3,1,NA,64.875,28.935,94.3333333333333,42.0093333333333,94.3333333333333,42.0093333333333,94.3333333333333,42.0093333333333,127,56.584,946,3,26.64
"197",1998,"Eastern Pacific",133.985,93.005,55.0475,40.445,13,9,6,3,94.3076923076923,42.1412307692308,111.222222222222,49.7253333333333,111.222222222222,49.7253333333333,111.222222222222,49.7253333333333,150,66.872,932,4,29.265
"198",1998,"Western Atlantic",181.7675,142.8225,35.855,35.855,14,10,3,2,95.7857142857143,42.8054285714286,111.1,49.6396,111.1,49.6396,111.1,49.6396,178,79.732,905,5,39.3675
"199",1999,"Eastern Pacific",91.9,80.98,80.98,37.91,9,6,2,1,86.3333333333333,38.58,102.666666666667,45.8673333333333,102.666666666667,45.8673333333333,102.666666666667,45.8673333333333,138,61.728,943,4,43.07
"200",1999,"Western Atlantic",176.5275,72.2125,30.2875,10.415,12,8,5,5,105.083333333333,46.939,131.625,58.8345,131.625,58.8345,131.625,58.8345,155,69.444,921,4,42.3075
"201",2000,"Eastern Pacific",95.835,54.915,36.865,12.7875,19,6,2,1,71.2105263157895,31.8115789473684,107.666666666667,48.0106666666667,107.666666666667,48.0106666666667,107.666666666667,48.0106666666667,155,69.444,932,4,24.0775
"202",2000,"Western Atlantic",119.1425,99.355,28.41,28.41,15,8,3,2,82.1333333333333,36.6938666666667,105.125,46.939,105.125,46.939,105.125,46.939,138,61.728,939,4,36.865
"203",2001,"Eastern Pacific",90.6175,43.3925,35.725,26.0625,16,8,2,2,76.6875,34.23975,101.5,45.3315,101.5,45.3315,101.5,45.3315,144,64.3,923,4,24.8
"204",2001,"Western Atlantic",110.075,48.97,8.1575,NA,15,9,4,2,87.2,38.9229333333333,105.666666666667,47.1533333333333,105.666666666667,47.1533333333333,105.666666666667,47.1533333333333,144,64.3,934,4,20.12
"205",2002,"Eastern Pacific",124.6025,109.46,100.1325,80.0175,15,8,6,4,99,44.2384,133.125,59.4775,133.125,59.4775,133.125,59.4775,167,74.588,913,5,20.0225
"206",2002,"Western Atlantic",67.4275,49.79,16.4625,NA,12,4,2,1,75,33.436,113.75,50.797,113.75,50.797,113.75,50.797,144,64.3,934,4,17.805
"207",2003,"Eastern Pacific",56.6125,6.705,6.705,6.705,16,7,NA,NA,69.5625,31.02475,91.5714285714286,40.7845714285714,91.5714285714286,40.7845714285714,91.5714285714286,40.7845714285714,104,46.296,969,2,9.28
"208",2003,"Western Atlantic",176.275,142.2725,85.165,63.28,16,7,3,2,81.75,36.49025,112,49.9702857142857,112,49.9702857142857,112,49.9702857142857,167,74.588,915,5,63.28
"209",2004,"Eastern Pacific",71.14,17.8075,8.7775,8.7775,12,6,3,2,83.9166666666667,37.5083333333333,109.333333333333,48.868,109.333333333333,48.868,109.333333333333,48.868,150,66.872,930,4,26.9925
"210",2004,"Western Atlantic",226.88,135.7075,82.6075,70.38,15,9,6,4,95.2666666666667,42.5237333333333,122.888888888889,54.8693333333333,122.888888888889,54.8693333333333,122.888888888889,54.8693333333333,167,74.588,910,5,70.38
"211",2005,"Eastern Pacific",96.5875,19.1275,19.1275,10.0675,15,7,2,1,75.7333333333333,33.7789333333333,102.142857142857,45.5611428571429,102.142857142857,45.5611428571429,102.142857142857,45.5611428571429,132,59.156,947,4,27.925
"212",2005,"Western Atlantic",250.1275,180.43,132.61,116.9375,29,15,7,5,87.7241379310345,39.2008275862069,117.066666666667,52.2973333333333,117.066666666667,52.2973333333333,117.066666666667,52.2973333333333,184,82.304,882,5,38.9175
"213",2006,"Eastern Pacific",207.95,141.8175,103.2625,103.2625,19,11,6,3,89.0526315789474,39.7983157894737,118.818181818182,53.0767272727273,118.818181818182,53.0767272727273,118.818181818182,53.0767272727273,161,72.016,900,5,85.265
"214",2006,"Western Atlantic",78.535,16.0625,NA,NA,10,5,2,NA,78.9,35.2364,99,44.2384,99,44.2384,99,44.2384,121,54.012,955,3,24.3425
"215",2007,"Eastern Pacific",52.5625,26.61,26.61,23.845,11,4,1,1,67.5454545454545,30.1625454545455,95,42.438,95,42.438,95,42.438,138,61.728,949,4,23.845
"216",2007,"Western Atlantic",73.885,64.87,60.36,53.2625,15,7,2,2,78.8,35.1506666666667,107.857142857143,48.1331428571429,107.857142857143,48.1331428571429,107.857142857143,48.1331428571429,173,77.16,905,5,35.2325
"217",2008,"Eastern Pacific",83.7675,47.065,47.065,25.495,17,7,2,1,69.4705882352941,31.0152941176471,98,43.724,98,43.724,98,43.724,132,59.156,945,4,18.365
"218",2008,"Western Atlantic",145.7175,39.5375,NA,NA,16,9,5,4,91.25,40.8305,117,52.2973333333333,117,52.2973333333333,117,52.2973333333333,155,69.444,935,4,39.1925
"219",2009,"Eastern Pacific",127.2025,66.8425,66.8425,54.1075,20,8,5,3,83,37.0368,124.625,55.6195,124.625,55.6195,124.625,55.6195,178,79.732,906,5,23.075
"220",2009,"Western Atlantic",52.58,26.5,NA,NA,9,3,2,1,75.5555555555556,33.7217777777778,119,53.1546666666667,119,53.1546666666667,119,53.1546666666667,132,59.156,943,4,26.5
"221",2010,"Eastern Pacific",52.045,43.4575,32.3125,32.3125,8,3,2,1,80.5,36.008,124.666666666667,55.7266666666667,124.666666666667,55.7266666666667,124.666666666667,55.7266666666667,161,72.016,921,5,24.09
"222",2010,"Western Atlantic",165.4825,39.7675,21.7625,15.5125,19,12,5,4,91.1578947368421,40.7458947368421,112.666666666667,50.3683333333333,112.666666666667,50.3683333333333,112.666666666667,50.3683333333333,155,69.444,924,4,41.9075
"223",2011,"Eastern Pacific",120.88,71.5975,54.38,49.7075,11,10,6,5,115.636363636364,51.6738181818182,120.3,53.7548,120.3,53.7548,120.3,53.7548,155,69.444,929,4,31.1875
"224",2011,"Western Atlantic",126.3025,59.1875,45.71,27.0325,19,7,4,2,76.3157894736842,34.1128421052632,108.571428571429,48.5005714285714,108.571428571429,48.5005714285714,108.571428571429,48.5005714285714,138,61.728,940,4,27.0325
"225",2012,"Eastern Pacific",98.37,64.0775,41.9225,26.35,17,10,5,1,85.3529411764706,38.1261176470588,108.1,48.3536,108.1,48.3536,108.1,48.3536,138,61.728,945,4,18.5625
"226",2012,"Western Atlantic",132.6325,71.9025,32.98,16.2825,19,10,2,NA,76.6842105263158,34.2482105263158,97.3,43.4668,97.3,43.4668,97.3,43.4668,115,51.44,940,3,26.34
"227",2013,"Eastern Pacific",78.3275,40.4575,25.3675,18.685,20,10,1,NA,70.85,31.6356,87.1,38.8372,87.1,38.8372,87.1,38.8372,127,56.584,951,3,17.3525
"228",2013,"Western Atlantic",36.12,4.9,NA,NA,14,2,NA,NA,62,27.7408571428571,89,39.866,89,39.866,89,39.866,92,41.152,979,1,8.9375
"229",2014,"Eastern Pacific",212.705,81.82,52.91,37.8225,22,16,9,7,99.0909090909091,44.3085454545455,117.1875,52.4045,117.1875,52.4045,117.1875,52.4045,161,72.016,918,5,23.52
"230",2014,"Western Atlantic",66.725,21.15,NA,NA,8,6,2,1,87.875,39.223,101.833333333333,45.4386666666667,101.833333333333,45.4386666666667,101.833333333333,45.4386666666667,144,64.3,940,4,25.9725
"231",2015,"Eastern Pacific",253.14,82.7975,38.1025,38.1025,19,13,10,9,110,49.1387368421053,137.307692307692,61.3323076923077,137.307692307692,61.3323076923077,137.307692307692,61.3323076923077,213,95.164,872,5,40.95
"232",2015,"Western Atlantic",62.685,9.1825,3.655,3.655,11,4,2,1,76,33.9036363636364,113.5,50.797,113.5,50.797,113.5,50.797,155,69.444,931,4,29.2425
"233",2016,"Eastern Pacific",183.7925,52.03,29.1525,20.8425,21,13,7,5,91.8095238095238,41.0295238095238,114.153846153846,51.0443076923077,114.153846153846,51.0443076923077,114.153846153846,51.0443076923077,150,66.872,940,4,35.67
"234",2016,"Western Atlantic",142.5275,89.715,59.25,50.94,15,7,4,2,82.1333333333333,36.6938666666667,113.428571428571,50.7051428571429,113.428571428571,50.7051428571429,113.428571428571,50.7051428571429,167,74.588,934,5,50.94
